ORF Localization
YFR015C punctate:cytosol
YBR172C cytosol
YOR138C cytosol
YER017C mitochondria
YLL013C cytosol
YCR046C mitochondria
YOL126C punctate
YPR086W nucleus
YHR030C nucleus:cytosol
YJR113C mitochondria
YHL004W mitochondria
YBR268W mitochondria
YCR030C punctate:bud_neck
YER030W nucleus
YGR048W nucleus:cytosol
YHR039C ER
YMR220W cytosol
YOR189W nucleus
YLR017W cytosol
YPR129W cytosol
YKL128C cytosol
YLL023C nuclear_periphery
YDR405W mitochondria
YHR003C mitochondria
YGR215W mitochondria
YGL201C nucleus
YMR086W cell_periphery
YPR019W nucleus:cytosol
YGR281W cell_periphery
YML007C-A mitochondria
YML016C cell_periphery
YFR040W cytosol
YPR173C punctate
YMR153W nuclear_periphery
YDR412W nucleus
YDR322C-A mitochondria
YDL173W cell_periphery
YMR304W punctate:cytosol
YGL246C nucleus
YLR387C cytosol
YNL137C mitochondria
YPL207W ER
YMR175W cytosol
YIL008W cytosol
YBR122C mitochondria
YJR017C nucleus
YNL100W mitochondria
YDR462W mitochondria
YPL013C mitochondria
YDL103C cytosol
YPL031C nucleus:cytosol
YML025C mitochondria
YPL128C nucleus
YAL026C punctate
YBR212W cytosol
YNL219C ER
YGR065C cell_periphery
YDL161W punctate
YPL183C cytosol
YDL053C cytosol
YLR052W nucleus
YCR036W cytosol
YDL088C nuclear_periphery
YLR336C nucleolus
YNL212W cytosol
YJR097W cytosol
YOR048C nucleus
YLR398C cytosol
YER035W nucleus:cytosol
YLR439W mitochondria
YGR156W nucleus
YKL106W mitochondria
YOR008C bud_neck
YGR261C punctate
YOR252W nucleus
YDR348C bud_neck
YIL043C ER
YGR031W mitochondria
YOR281C cytosol
YJR010C-A ER
YNL158W nuclear_periphery
YKL068W nuclear_periphery
YJL087C cytosol
YEL015W punctate
YHR200W cytosol
YER034W nucleus:cytosol
YDL201W nucleus
YBL075C cytosol
YBR166C cytosol
YGR256W below_threshold
YBR046C cytosol
YJR041C nucleolus
YJL042W cytosol
YLR114C cytosol:bud_neck
YKR060W nucleus
YIR004W ER
YML094W cytosol
YNL123W nucleus
YNL087W cell_periphery
YPL162C vacuole_membrane
YHL039W cytosol
YDR047W cytosol
YGR095C nucleus
YLR437C nucleus
YDR141C punctate
YBR170C nucleus:cytosol
YML131W cytosol
YPR168W nucleus
YBR058C-A ER
YML017W cytosol
YKL191W cytosol
YEL052W mitochondria
YJR101W mitochondria
YBL023C nucleus:cytosol
YML055W ER
YLR455W nucleus
YLL038C cytosol
YOR197W cytosol
YMR039C nucleus
YLR034C ER
YOL147C punctate
YLR226W nucleus
YKL002W punctate
YBR269C mitochondria
YDR312W nucleus
YLL036C nucleus
YEL037C nucleus
YKR002W nucleus
YDL002C nucleus
YDR266C cytosol
YDR476C ER
YJR080C mitochondria
YPL050C punctate
YKL030W below_threshold
YGL082W cytosol
YJL178C punctate
YBR130C cytosol
YHR111W cytosol:punctate
YGL101W cytosol
YNL265C punctate
YER020W cell_periphery
YDR515W cytosol
YKR088C punctate
YDR331W ER
YCR051W nucleus
YLR084C cell_periphery:bud_neck
YML013W ER
YIL104C nucleus
YER164W nucleus
YGL181W punctate
YOR173W cytosol
YHL029C cytosol
YPR118W cytosol
YLR328W cytosol
YPL084W punctate
YJL096W mitochondria
YDR145W nucleus
YPL118W mitochondria
YLR350W ER
YDL167C cytosol
